Method: GET | URL: /admin/ | IP: 127.0.0.1 | User: Anonymous
Method: GET | URL: /admin/login/ | IP: 127.0.0.1 | User: Anonymous
Method: GET | URL: /favicon.ico | IP: 127.0.0.1 | User: Anonymous
Method: POST | URL: /admin/login/ | IP: 127.0.0.1 | User: Anonymous
Method: POST | URL: /admin/login/ | IP: 127.0.0.1 | User: Anonymous
Method: POST | URL: /admin/login/ | IP: 127.0.0.1 | User: Anonymous
Method: GET | URL: /employees/slow/ | IP: 127.0.0.1 | User: Anonymous
Method: GET | URL: /abcd1234/ | IP: 127.0.0.1 | User: Anonymous
Method: GET | URL: /test500/ | IP: 127.0.0.1 | User: Anonymous
Method: GET | URL: /abcd1234/ | IP: 127.0.0.1 | User: Anonymous
Method: GET | URL: /abcd1234/ | IP: 127.0.0.1 | User: Anonymous
Method: GET | URL: /admin/ | IP: 127.0.0.1 | User: Anonymous
Method: GET | URL: /admin/login/ | IP: 127.0.0.1 | User: Anonymous
Method: GET | URL: /admin/employees/employee/ | IP: 127.0.0.1 | User: Anonymous
Method: GET | URL: /admin/login/ | IP: 127.0.0.1 | User: Anonymous
Method: GET | URL: /employees/dashboard/ | IP: 127.0.0.1 | User: Anonymous
Method: GET | URL: /employees/dashboard/ | IP: 127.0.0.1 | User: Anonymous
Method: GET | URL: /employees/dashboard/ | IP: 127.0.0.1 | User: Anonymous
